stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp
S04,S0410,63,g,General Election / Bye Election Roll 2024,339,292,47,2025-08-28 12:04:45 UTC+05:30
S04,S0410,64,g,General Election / Bye Election Roll 2024,338,285,53,2025-08-28 12:05:02 UTC+05:30
S04,S0410,65,g,General Election / Bye Election Roll 2024,412,352,60,2025-08-28 12:05:16 UTC+05:30
S04,S0410,66,g,General Election / Bye Election Roll 2024,379,330,49,2025-08-28 12:05:30 UTC+05:30
S04,S0410,67,g,General Election / Bye Election Roll 2024,380,306,74,2025-08-28 12:05:46 UTC+05:30
S04,S0410,68,g,General Election / Bye Election Roll 2024,341,286,55,2025-08-28 12:06:05 UTC+05:30
S04,S0410,69,g,General Election / Bye Election Roll 2024,353,300,53,2025-08-28 12:06:22 UTC+05:30
S04,S0421,148,g,General Election / Bye Election Roll 2024,305,272,33,2025-08-28 12:10:38 UTC+05:30
S04,S0421,149,g,General Election / Bye Election Roll 2024,305,278,27,2025-08-28 12:10:50 UTC+05:30
S04,S0421,150,g,General Election / Bye Election Roll 2024,387,329,58,2025-08-28 12:11:02 UTC+05:30
S04,S0421,151,g,General Election / Bye Election Roll 2024,375,317,58,2025-08-28 12:11:17 UTC+05:30
S04,S0408,52,g,General Election / Bye Election Roll 2024,356,301,55,2025-08-28 12:11:49 UTC+05:30
S04,S0408,53,g,General Election / Bye Election Roll 2024,360,301,59,2025-08-28 12:12:02 UTC+05:30
S04,S0408,54,g,General Election / Bye Election Roll 2024,347,298,49,2025-08-28 12:12:17 UTC+05:30
S04,S0408,55,g,General Election / Bye Election Roll 2024,303,266,37,2025-08-28 12:12:33 UTC+05:30
S04,S0425,167,g,General Election / Bye Election Roll 2024,436,349,87,2025-08-28 12:12:59 UTC+05:30
S04,S0425,168,g,General Election / Bye Election Roll 2024,468,393,75,2025-08-28 12:14:08 UTC+05:30
S04,S0411,70,g,General Election / Bye Election Roll 2024,436,354,82,2025-08-28 12:14:27 UTC+05:30
S04,S0411,71,g,General Election / Bye Election Roll 2024,381,312,69,2025-08-28 12:14:40 UTC+05:30
S04,S0411,72,g,General Election / Bye Election Roll 2024,371,328,43,2025-08-28 12:14:58 UTC+05:30
S04,S0411,73,g,General Election / Bye Election Roll 2024,404,348,56,2025-08-28 12:15:07 UTC+05:30
S04,S0405,31,g,General Election / Bye Election Roll 2024,355,301,54,2025-08-28 12:15:26 UTC+05:30
S04,S0405,32,g,General Election / Bye Election Roll 2024,374,307,67,2025-08-28 12:15:39 UTC+05:30
S04,S0405,33,g,General Election / Bye Election Roll 2024,374,315,59,2025-08-28 12:15:58 UTC+05:30
S04,S0405,34,g,General Election / Bye Election Roll 2024,383,338,45,2025-08-28 12:16:08 UTC+05:30
S04,S0405,35,g,General Election / Bye Election Roll 2024,384,333,51,2025-08-28 12:16:22 UTC+05:30
S04,S0405,36,g,General Election / Bye Election Roll 2024,422,364,58,2025-08-28 12:16:35 UTC+05:30
S04,S0405,35,g,General Election / Bye Election Roll 2024,384,333,51,2025-08-28 12:16:54 UTC+05:30
S04,S0405,36,g,General Election / Bye Election Roll 2024,422,364,58,2025-08-28 12:17:07 UTC+05:30
S04,S0405,37,g,General Election / Bye Election Roll 2024,387,347,40,2025-08-28 12:17:25 UTC+05:30
S04,S0405,38,g,General Election / Bye Election Roll 2024,392,344,48,2025-08-28 12:17:43 UTC+05:30
S04,S0405,39,g,General Election / Bye Election Roll 2024,404,338,66,2025-08-28 12:17:59 UTC+05:30
S04,S0405,40,g,General Election / Bye Election Roll 2024,407,353,54,2025-08-28 12:18:18 UTC+05:30
S04,S0424,164,g,General Election / Bye Election Roll 2024,412,340,72,2025-08-28 12:18:37 UTC+05:30
S04,S0424,164,g,General Election / Bye Election Roll 2024,412,340,72,2025-08-28 12:18:56 UTC+05:30
S04,S0424,165,g,General Election / Bye Election Roll 2024,404,347,57,2025-08-28 12:19:12 UTC+05:30
S04,S0424,166,g,General Election / Bye Election Roll 2024,392,345,47,2025-08-28 12:19:26 UTC+05:30
S04,S0414,88,g,General Election / Bye Election Roll 2024,416,333,83,2025-08-28 12:19:52 UTC+05:30
S04,S0414,89,g,General Election / Bye Election Roll 2024,400,329,71,2025-08-28 12:20:05 UTC+05:30
