stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp,acLabel
S04,S0405,35,g,General Election / Bye Election Roll 2024,384,333,51,2025-08-28 12:16:54 UTC+05:30,Bisfi
S04,S0405,36,g,General Election / Bye Election Roll 2024,422,364,58,2025-08-28 12:17:07 UTC+05:30,Madhubani
S04,S0405,37,g,General Election / Bye Election Roll 2024,387,347,40,2025-08-28 12:17:25 UTC+05:30,Rajnagar
S04,S0405,38,g,General Election / Bye Election Roll 2024,392,344,48,2025-08-28 12:17:43 UTC+05:30,Jhanjharpur
S04,S0405,39,g,General Election / Bye Election Roll 2024,404,338,66,2025-08-28 12:17:59 UTC+05:30,Phulparas
S04,S0405,40,g,General Election / Bye Election Roll 2024,407,353,54,2025-08-28 12:18:18 UTC+05:30,Laukaha
S04,S0424,164,g,General Election / Bye Election Roll 2024,412,340,72,2025-08-28 12:18:37 UTC+05:30,Tarapur
S04,S0424,164,g,General Election / Bye Election Roll 2024,412,340,72,2025-08-28 12:18:56 UTC+05:30,Tarapur
S04,S0424,165,g,General Election / Bye Election Roll 2024,404,347,57,2025-08-28 12:19:12 UTC+05:30,Munger
S04,S0424,166,g,General Election / Bye Election Roll 2024,392,345,47,2025-08-28 12:19:26 UTC+05:30,Jamalpur
S04,S0414,88,g,General Election / Bye Election Roll 2024,416,333,83,2025-08-28 12:19:52 UTC+05:30,Gaighat
S04,S0414,89,g,General Election / Bye Election Roll 2024,400,329,71,2025-08-28 12:20:05 UTC+05:30,Aurai
S04,S0414,90,g,General Election / Bye Election Roll 2024,345,291,54,2025-08-28 12:20:29 UTC+05:30,Minapur
S04,S0414,91,g,General Election / Bye Election Roll 2024,365,286,79,2025-08-28 12:20:52 UTC+05:30,Bochaha
S04,S0414,92,g,General Election / Bye Election Roll 2024,343,274,69,2025-08-28 12:21:05 UTC+05:30,Sakra
S04,S0414,93,g,General Election / Bye Election Roll 2024,375,320,55,2025-08-28 12:21:17 UTC+05:30,Kurhani
S04,S0414,94,g,General Election / Bye Election Roll 2024,416,327,89,2025-08-28 12:21:32 UTC+05:30,Muzaffarpur
S04,S0414,95,g,General Election / Bye Election Roll 2024,396,325,71,2025-08-28 12:22:00 UTC+05:30,Kanti
S04,S0414,96,g,General Election / Bye Election Roll 2024,357,315,42,2025-08-28 12:22:14 UTC+05:30,Baruraj
