FinYear,State_sel,State_code,District_sel,District_code,Block_sel,Block_code,Panchayat_sel,Panchayat_code,Village_sel,Village_code,sr_no,habitation,SC,ST,GEN,TOTAL
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,9,Raju Thanda,5,63,13,81
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,10,Shanbunigudem,50,645,132,827
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,11,Surya Tanda,0,231,0,231
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,12,Venkatya Thana,9,119,24,152
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,13,Voddugudem,5,63,13,81
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (G),302576,Gollapalli,23862,14,Voddugudem,0,41,0,41
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (P),302578,Pregellapadu,23861,1,Kotha Thanda,51,670,137,858
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (P),302578,Pregellapadu,23861,2,Laxmipuram,9,112,23,144
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Kotha Thanda (P),302578,Pregellapadu,23861,3,Mallapalli,16,206,42,264
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Lachagudem,302571,Gangaram,23854,1,Latchagudem,35,460,94,589
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Lachagudem,302571,Gangaram,23854,2,Tekulagudem,10,124,26,160
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Mellamadugu,302572,Gangaram,23854,1,China Charlapalli,0,80,0,80
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Mellamadugu,302572,Gangaram,23854,2,Mellamadugu,30,385,79,494
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Mokkampadu,302564,Bodu,23851,1,Mukkampadu,11,136,28,175
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Mokkampadu,302564,Bodu,23851,2,Mukkampadu Thanda,18,237,48,303
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Petram Chelka,302565,Bodu,23851,1,Petramchilka,29,373,77,479
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Petram Chelka,302565,Bodu,23851,2,Petramchilka Stage,18,235,48,301
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Pregallapadu,19050,Pregellapadu,23861,1,Dubba Thanda,14,183,38,235
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Pregallapadu,19050,Pregellapadu,23861,2,Padamatigumpu,39,504,104,647
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Pregallapadu,19050,Pregellapadu,23861,3,Teluguru,13,169,35,217
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Pregallapadu,19050,Pregellapadu,23861,4,Thurpugudem,38,495,102,635
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ram Puram,302579,Pregellapadu,23861,1,Harijana Vada,11,146,30,187
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ram Puram,302579,Pregellapadu,23861,2,Patha Thanda,24,317,65,406
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ram Puram,302579,Pregellapadu,23861,3,Rampuram,17,221,45,283
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Bodu,23851,1,Morutla,12,151,31,194
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Bodu,23851,2,Patarlagadda,7,93,19,119
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Bodu,23851,3,Patarlagadda Thanda,10,134,28,172
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Bodu,23851,4,Tolemramaiah Gumpu,4,56,12,72
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,1,Barlagudem,18,231,47,296
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,2,Dharapadu,11,143,29,183
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,3,Ippalachilaka,8,97,20,125
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,4,Jangalapalli,10,130,27,167
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,5,Kommugudem,9,117,24,150
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,6,Koppurai,15,190,39,244
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,7,Kothuru,7,106,15,128
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,8,Laxmipuram,19,249,51,319
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,9,Modugulagudem,13,171,35,219
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,10,Motlagudem,7,94,19,120
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,11,Patha Koppurai,3,42,9,54
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,12,Ramchandrunipeta,37,475,98,610
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,13,Voddugudem,29,372,76,477
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Ramchandrunipeta,302566,Koppurai,23852,14,Voddugudem Colony,11,143,29,183
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,1,A Colony Thanda,24,315,65,404
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,2,Andugulagudem,9,111,23,143
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,3,Anjaneya Palem,0,0,40,40
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,4,Badduthanda,24,315,65,404
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,5,Battu Thanda,13,163,34,210
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,6,Bavoji Thanda,18,231,48,297
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,7,Beelya Thanda,6,78,16,100
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,8,Chikkalabodu,16,207,43,266
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,9,Chintala Thanda,5,71,15,91
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,10,Chintarlanka,25,326,67,418
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,11,Dantala Thanda,17,222,45,284
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,12,Dasu Thanda,23,298,61,382
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,13,Earya Thanda,5,67,14,86
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,14,Gangapuram,8,99,20,127
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,15,Golya Thanda,20,265,54,339
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,16,Gurya Thanda,9,110,23,142
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,17,Hanuma Thanda,16,205,42,263
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,18,Ippala Thanda,7,95,19,121
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,19,Jethya Thanda,16,205,40,261
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,20,Kokya Thanda,48,626,128,802
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,21,Kondangulabodu,30,395,81,506
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,22,Kotha Thanda,7,95,20,122
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,23,Koya Gudem,106,1376,282,1764
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,24,Kuntalla,29,381,78,488
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,25,Latcha Thanda,33,425,87,545
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,26,Laxmipuram,11,147,30,188
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,27,Maddurala,8,99,20,127
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,28,Maddurala Thanda,25,323,66,414
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,29,Madrasthanda,46,597,122,765
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,30,Mangali Thanda,27,345,70,442
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,31,Morrithanda,21,271,56,348
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,32,Muthyalampadu X Road,46,601,123,770
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,33,Nandya Thanda,15,193,40,248
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,34,Nanuthanda,7,91,19,117
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,35,Narayana Thanda,6,101,0,107
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,36,Patha Thadikalapudi,45,585,120,750
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,37,Raju Thanda,18,237,49,304
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,38,Ravulapadu,20,254,52,326
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,39,Regulathanda,24,310,64,398
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,40,Rollapadu,24,316,65,405
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,41,Rukmathanda,9,114,24,147
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,42,Samya Thanda,7,109,0,116
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,43,Shanthi Nagar,15,198,40,253
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,44,Singya Thanda,22,289,59,370
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,45,Sri Ramchandrapuram,3,37,8,48
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,46,Station Thadikalapudi,23,296,61,380
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,47,Sulanagar,111,1446,297,1854
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,48,Sulanagar Colony,15,189,39,243
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,49,Suraram Thanda,0,37,0,37
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,50,Tekulapalli,146,1901,390,2437
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,51,Thavurya Thanda,48,626,128,802
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,52,Thumallachilaka Stage,6,90,0,96
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,53,Tummalachilaka,27,349,71,447
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Rollapadu,302561,Bethampudi,23855,54,Vagoddu Thanda,29,374,77,480
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Yerraigudem,302567,Bodu,23851,1,Chintalakatta,0,60,0,60
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Yerraigudem,302567,Bodu,23851,2,Yerraigudem,38,497,102,637
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Tekulapally,989,Yerraigudem,302567,Bodu,23851,3,Yerraigudem Stage,15,193,40,248
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Balaji Nagar,302731,Sudimalla,600093,1,Azzadnagar,78,120,465,663
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Balaji Nagar,302731,Sudimalla,600093,2,Balaji Nagar,120,300,506,926
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Balaji Nagar,302731,Sudimalla,600093,3,Sanjay Nagar,480,120,855,1455
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Boi Thanda,302692,Komraram,600071,1,Boyeethanda,0,274,0,274
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Boi Thanda,302692,Komraram,600071,2,Laxmi Narayna Thanda,0,349,6,355
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Boi Thanda,302692,Komraram,600071,3,Surveythanda,0,279,0,279
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Boi Thanda,302692,Komraram,600071,4,Tuntabaluthanda,0,384,6,390
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,1,Annaram,0,129,80,209
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,2,Bojjaiagudem,0,1073,408,1481
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,3,Kollapuram,0,501,160,661
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,4,Marrigudem,0,195,30,225
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,5,Marrigudem Thanda,0,295,0,295
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,6,Modugulagudem,0,136,180,316
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,7,Motlagudem,0,418,8,426
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,8,Pinakavarigumpu,0,80,0,80
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Bojjaigudem,302732,Sudimalla,600093,9,Vepalagadda,0,268,0,268
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Challasamudram,240477,Challasamudram,600063,1,Anjanapuram,0,195,60,255
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Challasamudram,240477,Challasamudram,600063,2,Challasamudram,0,246,0,246
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Challasamudram,240477,Challasamudram,600063,3,Mukundapuram,0,10,657,667
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Challasamudram,240477,Challasamudram,600063,4,Mukundapuram Camp,120,186,220,526
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Challasamudram,240477,Challasamudram,600063,5,Vemulawada,40,520,88,648
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Csp Basthi,302708,Mamidigundala,654912,1,Rajeev Nagar,8,165,50,223
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Csp Basthi,302708,Rompaid,654869,1,Csp Basthi,320,360,482,1162
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Dhaniyalapadu,302688,Challasamudram,600063,1,Balaji Thanda,0,138,0,138
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Dhaniyalapadu,302688,Challasamudram,600063,2,Dhaniyalapadu,160,408,15,583
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Dhaniyalapadu,302688,Challasamudram,600063,3,Sevyathanda,0,200,0,200
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Indira Nagar,302733,Sudimalla,600093,1,Indira Nagar,206,1388,1175,2769
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Komararam,240480,Komraram,600071,1,Komararam,97,1209,551,1857
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Mamidigundala,654912,1,Ashok Nagar,0,47,0,47
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Mamidigundala,654912,2,Peddagumpu,0,160,0,160
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Mamidigundala,654912,3,Ravichettigumpu,0,160,0,160
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Rompaid,654869,1,Kommugudem,220,818,23,1061
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Rompaid,654869,2,Kothagumpu,0,342,0,342
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Rompaid,654869,3,Nayakulagudem,0,270,0,270
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Kommugudem,302711,Rompaid,654869,4,Rompaid,20,351,10,381
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Lachagudem,302689,Challasamudram,600063,1,Kommugudem,0,586,0,586
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Lachagudem,302689,Challasamudram,600063,2,Latchagudem,48,304,242,594
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Lachagudem,302689,Challasamudram,600063,3,Vepalagadda,8,225,76,309
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Mamidigundala,654912,1,Eddallapelly Gumpu,0,75,0,75
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Mamidigundala,654912,2,Sunkaragudem,382,0,0,382
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,1,Andugulabodu,0,164,0,164
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,2,Chintalabodu,0,94,0,94
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,3,Mamidigudem,0,202,25,227
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,4,Sithanagaram,25,209,12,246
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,5,Theegalancha,0,180,0,180
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,6,Varsagumpu,0,31,0,31
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigudem,302714,Rompaid,654869,7,Venkatapuram,0,134,0,134
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,1,Botimedigumpu,0,121,15,136
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,2,Chaplavarigumpu,0,93,0,93
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,3,Mamidigundala,25,289,40,354
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,4,Medikunta,0,272,6,278
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,5,Rajyathnanda,0,199,8,207
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mamidigundala,305367,Mamidigundala,654912,6,Suvarnapuram,0,203,6,209
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Masivagu,302715,Mamidigundala,654912,1,Dharmaram Thanda,0,531,45,576
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Masivagu,302715,Rompaid,654869,1,Mashivaguthanda,0,288,0,288
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Masivagu,302715,Rompaid,654869,2,Masivagu Center,0,270,30,300
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mittapally,302720,Rompaid,654869,1,Donabanda Gumpu,0,213,0,213
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mittapally,302720,Rompaid,654869,2,Mittapally,0,630,0,630
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mondithogu,302722,Mamidigundala,654912,1,Kummarikunta,0,112,8,120
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mondithogu,302722,Rompaid,654869,1,24-incline-cheruvukatta,117,378,206,701
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mondithogu,302722,Rompaid,654869,2,Dharmapuram,0,343,180,523
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mondithogu,302722,Rompaid,654869,3,Mondithogu,0,273,20,293
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mutharapukatta,302724,Mamidigundala,654912,1,Santhi Nagar,0,297,8,305
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mutharapukatta,302724,Mamidigundala,654912,2,Veerapuram,0,247,25,272
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mutharapukatta,302724,Rompaid,654869,1,Kotagadda,0,108,12,120
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Mutharapukatta,302724,Rompaid,654869,2,Mutharapukatta,0,266,45,311
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,1,Amarsingh Thanda,0,325,0,325
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,2,Belluthanda,0,237,0,237
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,3,Bhadruthanda,0,563,25,588
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,4,Bombai Thanda,0,557,150,707
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,5,Desya Thanda,0,217,0,217
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,6,Eduppalagudem,0,460,4,464
As on (01/04/2025),Telangana,36,Bhadradri Kothagudem,740,Yellandu,6450,Pocharam Thanda,302693,Komraram,600071,7,Mangya Gumpu,0,117,32,149
