source_file,year,state_code,state_name,ac_number,ac_name,ac_reservation,pc_number,pc_name,part_number,polling_station_number_and_name,polling_station_address,polling_station_type,auxiliary_polling_stations,serial_start,serial_end,male,female,third_gender,total,district,main_town_or_village,post_office,police_station,tehsil,subdivision,pin_code
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p138_573837ba\139_p138_573837ba.json,,,,,,,,,,,,,,,,423,452,0,875,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p139_ef001ee0\139_p139_ef001ee0.json,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p13_86dcff91\139_p13_86dcff91.json,,,,139,NANDYAL,GEN,17,NANDYAL,13,13 - KOTHAPALLI,"Z.P.H. School, 8th class, Kothapalli",,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p140_205a329f\139_p140_205a329f.json,,,,139,NANDYAL,,17,NANDYAL,140,140 - NANDYAL,"Shivananda Mp. School, North Side, Revenue Quarter NANDYALA",GENERAL,,,,447,503,0,950,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p141_4a8aa4a1\139_p141_4a8aa4a1.json,2024,,,139,NANDYAL,,17,NANDYAL,141,141 - NANDYAL,"Shivananda Mpl. Ele. School, Revenue Quarters, NANDYAL",,,1,975,450,484,0,934,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p142_b26a0c73\139_p142_b26a0c73.json,,,,139,NANDYAL,,17,NANDYAL,142,142 - NANDYALA,ESC GOVT POLYTECHNIC COLLEGE LECTURER HALL NO-11 NANDYAL,,0,,,411,467,0,878,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p143_5e9a2523\139_p143_5e9a2523.json,,,,,,,,,,,,,0,,,517,525,0,1042,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p144_766e1798\139_p144_766e1798.json,,,,139,NANDYAL,,,,144,144 - NANDYAL,"S.Y.V.C.P Govt Junior college for Girls, Northwing room No 4 Nandyal, Nandyal",,0,,,389,400,0,789,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p145_c7020822\139_p145_c7020822.json,,,,139,NANDYAL,,17,NANDYAL,145,145 - NANDYAL,"S.Y.V.C.P Govt Junior college for Girls, Westwing room No 3 Nandyal, Nandyal",,,,,581,610,0,1191,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p146_86426f3d\139_p146_86426f3d.json,,,,,,,,,,146 - NANDYAL,"S.Y.V.C.P Govt Junior college for Girls, southwing room No 1 Nandyal, Nandyal",,0,,,458,481,0,939,,,,,,,
